date,equity
2020-09-06,203807.2983965256
2020-09-07,203807.2983965256
2020-09-08,203807.2983965256
2020-09-09,203807.2983965256
2020-09-10,203807.2983965256
2020-09-11,203807.2983965256
2020-09-12,203807.2983965256
2020-09-13,203807.2983965256
2020-09-14,203807.2983965256
2020-09-15,203807.2983965256
2020-09-16,203807.2983965256
2020-09-17,203807.2983965256
2020-09-18,203807.2983965256
2020-09-19,203807.2983965256
2020-09-20,203807.2983965256
2020-09-21,203807.2983965256
2020-09-22,203807.2983965256
2020-09-23,203807.2983965256
2020-09-24,203807.2983965256
2020-09-25,203807.2983965256
2020-09-26,203807.2983965256
2020-09-27,203807.2983965256
2020-09-28,203807.2983965256
2020-09-29,203807.2983965256
2020-09-30,203807.2983965256
2020-10-01,203807.2983965256
2020-10-02,203807.2983965256
2020-10-03,203807.2983965256
2020-10-04,203807.2983965256
2020-10-05,203807.2983965256
2020-10-06,203807.2983965256
2020-10-07,203807.2983965256
2020-10-08,203807.2983965256
2020-10-09,203807.2983965256
2020-10-10,203807.2983965256
2020-10-11,203807.2983965256
2020-10-12,203807.2983965256
2020-10-13,203807.2983965256
2020-10-14,203807.2983965256
2020-10-15,203807.2983965256
2020-10-16,203807.2983965256
2020-10-17,203807.2983965256
2020-10-18,203807.2983965256
2020-10-19,203807.2983965256
2020-10-20,203807.2983965256
2020-10-21,203807.2983965256
2020-10-22,203807.2983965256
2020-10-23,203807.2983965256
2020-10-24,203807.2983965256
2020-10-25,203807.2983965256
2020-10-26,203807.2983965256
2020-10-27,203807.2983965256
2020-10-28,203807.2983965256
2020-10-29,203807.2983965256
2020-10-30,203807.2983965256
2020-10-31,203807.2983965256
2020-11-01,203807.2983965256
2020-11-02,203807.2983965256
2020-11-03,203807.2983965256
2020-11-04,203807.2983965256
2020-11-05,203807.2983965256
2020-11-06,203807.2983965256
2020-11-07,203807.2983965256
2020-11-08,203807.2983965256
2020-11-09,203807.2983965256
2020-11-10,203807.2983965256
2020-11-11,203807.2983965256
2020-11-12,203807.2983965256
2020-11-13,203807.2983965256
2020-11-14,203807.2983965256
2020-11-15,203807.2983965256
2020-11-16,203807.2983965256
2020-11-17,203807.2983965256
2020-11-18,203807.2983965256
2020-11-19,203807.2983965256
2020-11-20,203807.2983965256
2020-11-21,203807.2983965256
2020-11-22,203807.2983965256
2020-11-23,203807.2983965256
2020-11-24,203807.2983965256
2020-11-25,203807.2983965256
2020-11-26,203807.2983965256
2020-11-27,203807.2983965256
2020-11-28,203807.2983965256
2020-11-29,203807.2983965256
2020-11-30,203807.2983965256
2020-12-01,203807.2983965256
2020-12-02,203807.2983965256
2020-12-03,203807.2983965256
2020-12-04,203807.2983965256
2020-12-05,203807.2983965256
2020-12-06,203807.2983965256
2020-12-07,203807.2983965256
2020-12-08,203807.2983965256
2020-12-09,203807.2983965256
2020-12-10,203807.2983965256
2020-12-11,203807.2983965256
2020-12-12,203807.2983965256
2020-12-13,203807.2983965256
2020-12-14,203807.2983965256
2020-12-15,203807.2983965256
2020-12-16,203807.2983965256
2020-12-17,203807.2983965256
2020-12-18,203807.2983965256
2020-12-19,203807.2983965256
2020-12-20,203807.2983965256
2020-12-21,203807.2983965256
2020-12-22,200514.31407669414
2020-12-23,178587.46924191646
2020-12-24,183168.33712207348
2020-12-25,187584.7390667283
2020-12-26,193914.66768598647
2020-12-27,198638.26572768486
2020-12-28,206379.00431910218
2020-12-29,206379.00431910218
2020-12-30,206379.00431910218
2020-12-31,206379.00431910218
2021-01-01,206379.00431910218
2021-01-02,206379.00431910218
2021-01-03,206379.00431910218
2021-01-04,206379.00431910218
2021-01-05,206379.00431910218
2021-01-06,206379.00431910218
2021-01-07,206379.00431910218
2021-01-08,206379.00431910218
2021-01-09,206379.00431910218
2021-01-10,206379.00431910218
2021-01-11,206379.00431910218
2021-01-12,206379.00431910218
2021-01-13,206379.00431910218
2021-01-14,206379.00431910218
2021-01-15,206379.00431910218
2021-01-16,206379.00431910218
2021-01-17,206379.00431910218
2021-01-18,206379.00431910218
2021-01-19,206379.00431910218
2021-01-20,206379.00431910218
2021-01-21,206379.00431910218
2021-01-22,206379.00431910218
2021-01-23,206379.00431910218
2021-01-24,206379.00431910218
2021-01-25,206379.00431910218
2021-01-26,206379.00431910218
2021-01-27,206379.00431910218
2021-01-28,206379.00431910218
2021-01-29,206379.00431910218
2021-01-30,206379.00431910218
2021-01-31,206379.00431910218
2021-02-01,206379.00431910218
2021-02-02,206379.00431910218
2021-02-03,206379.00431910218
2021-02-04,206379.00431910218
2021-02-05,206379.00431910218
2021-02-06,206379.00431910218
2021-02-07,206379.00431910218
2021-02-08,206379.00431910218
2021-02-09,206379.00431910218
2021-02-10,206379.00431910218
2021-02-11,206379.00431910218
2021-02-12,206379.00431910218
2021-02-13,206379.00431910218
2021-02-14,206379.00431910218
2021-02-15,206379.00431910218
2021-02-16,206379.00431910218
2021-02-17,206379.00431910218
2021-02-18,206379.00431910218
2021-02-19,206379.00431910218
2021-02-20,206379.00431910218
2021-02-21,206379.00431910218
2021-02-22,206379.00431910218
2021-02-23,206379.00431910218
2021-02-24,206379.00431910218
2021-02-25,206379.00431910218
2021-02-26,206379.00431910218
2021-02-27,206379.00431910218
2021-02-28,206379.00431910218
2021-03-01,206379.00431910218
2021-03-02,206379.00431910218
2021-03-03,206379.00431910218
2021-03-04,206379.00431910218
2021-03-05,206379.00431910218
2021-03-06,206379.00431910218
2021-03-07,206379.00431910218
2021-03-08,206379.00431910218
2021-03-09,206379.00431910218
2021-03-10,206379.00431910218
2021-03-11,206379.00431910218
2021-03-12,206379.00431910218
2021-03-13,206379.00431910218
2021-03-14,206379.00431910218
2021-03-15,206379.00431910218
2021-03-16,206379.00431910218
2021-03-17,206379.00431910218
2021-03-18,206379.00431910218
2021-03-19,206379.00431910218
2021-03-20,206379.00431910218
2021-03-21,206379.00431910218
